"CHILDID","mm1","mm2","mm3","w1","w2","w3","POST","cons","Mob","PRE","RET","wM","wPRE","wRET"
"1049023C",34,0,0,1,0,0,164.67,1,0,93.05,0,-0.188915526449148,10.4349034226016,-2.72026663548123
"0743008C",1066,1764,0,0.5,0.5,0,120.57,1,1,60.35,12,0.727751140217518,-2.19113824406502,9.27973336451877
"1053004C",554,0,0,1,0,0,153.49,1,0,80.19,0,-0.272248859782482,17.560736755935,-2.72026663548123
"1056001C",38,0,0,1,0,0,115.59,1,0,62.88,1,-0.0817726693062911,6.71883199403022,-1.72026663548123
"1056003C",38,0,0,1,0,0,115.68,1,0,47.8,1,-0.0817726693062911,6.71883199403022,-1.72026663548123
"1056005C",38,0,0,1,0,0,158.91,1,0,95.99,1,-0.0817726693062911,6.71883199403022,-1.72026663548123
"1056006C",38,0,0,1,0,0,122.96,1,0,45.74,1,-0.0817726693062911,6.71883199403022,-1.72026663548123
"1056007C",38,0,0,1,0,0,106.05,1,0,39.91,1,-0.0817726693062911,6.71883199403022,-1.72026663548123
"0743024C",1066,1764,0,0.5,0.5,0,127.68,1,1,74.76,12,0.727751140217518,-2.19113824406502,9.27973336451877
"0183004C",191,1856,0,0.5,0.5,0,153.48,1,1,85.23,1,-0.00558219311581493,-0.0735965773983551,-1.72026663548123
"1068011C",39,0,0,1,0,0,155.42,1,0,66.16,2,-0.0904306779642998,-6.21289960770139,-0.72026663548123
"1068012C",39,0,0,1,0,0,161.8,1,0,61.51,2,-0.0904306779642998,-6.21289960770139,-0.72026663548123
"1068013C",39,0,0,1,0,0,134.23,1,0,60.1,2,-0.0904306779642998,-6.21289960770139,-0.72026663548123
"0184003C",571,1948,0,0.5,0.5,0,113.13,1,1,54.03,2,0.0610844735508517,-14.699263244065,-0.72026663548123
"1068018C",39,0,0,1,0,0,80.54,1,0,44.15,2,-0.0904306779642998,-6.21289960770139,-0.72026663548123
"1068019C",39,0,0,1,0,0,141.63,1,0,35.92,2,-0.0904306779642998,-6.21289960770139,-0.72026663548123
"1071011C",676,0,0,1,0,0,147.02,1,0,56.42,2,-0.272248859782482,-6.20926324406502,-0.72026663548123
"1073003C",41,0,0,1,0,0,111.29,1,0,53.97,0,0.144417806884185,-3.28509657739836,-2.72026663548123
